feature,artist,min,LF,UF,max,out.of.range,unusual,description
overall_loudness,All Get Out,-14.2730407715,-16.352985441792498,-1.3434301018125012,-6.1270198822,FALSE,FALSE,Within Range
overall_loudness,Manchester Orchestra,-24.3416633606,-20.21573162074,-0.8035078048999997,-6.2572479248,FALSE,FALSE,Within Range
overall_loudness,The Front Bottoms,-11.0341930389,-9.652404308314999,-5.865993022915,-5.70879554749,FALSE,TRUE,Outlying
spectral_energy,All Get Out,0.016470964998,0.011693669250150003,0.04449108219714999,0.0455353371799,FALSE,FALSE,Within Range
spectral_energy,Manchester Orchestra,0.00962408259511,-0.0032336022705500046,0.060620838776250005,0.0518325716257,FALSE,FALSE,Within Range
spectral_energy,The Front Bottoms,0.0217795856297,0.022122034802999995,0.05409809388220001,0.0506899133325,FALSE,FALSE,Within Range
danceability,All Get Out,0.843913197517,0.7652322575431253,1.3246903345021246,1.30302810669,FALSE,FALSE,Within Range
danceability,Manchester Orchestra,0.776896297932,0.6482966542224999,1.3906076550505002,1.40347576141,FALSE,FALSE,Within Range
danceability,The Front Bottoms,0.91287279129,0.8647371530399999,1.36527884008,1.33414626122,TRUE,FALSE,Out of Range
tempo,All Get Out,84.9143676758,95.28631114962502,167.91870403262493,162.923934937,FALSE,FALSE,Within Range
tempo,Manchester Orchestra,67.1476821899,71.175098419,190.00856399500003,184.570068359,FALSE,FALSE,Within Range
tempo,The Front Bottoms,80.829574585,82.991916656,181.74213027999997,165.668838501,FALSE,FALSE,Within Range
duration,All Get Out,163.5,134.56537056037502,303.183916091375,377.867034912,FALSE,FALSE,Within Range
duration,Manchester Orchestra,102.42666626,79.14665985050001,401.17333221449996,434.359985352,FALSE,FALSE,Within Range
duration,The Front Bottoms,108.486778259,127.14418792549999,302.2619247455,297.346679688,FALSE,FALSE,Within Range
zerocrossingrate,All Get Out,0.036983910948,0.022986614145312504,0.10095523390921249,0.0840472429991,FALSE,FALSE,Within Range
zerocrossingrate,Manchester Orchestra,0.0206635873765,0.0020241476594499985,0.08952239528305,0.0889744311571,FALSE,FALSE,Within Range
zerocrossingrate,The Front Bottoms,0.04312479496,0.03917196393019999,0.0866972506046,0.106284059584,TRUE,TRUE,Out of Range
spectral_strongpeak,All Get Out,0.42788168788,0.25921680033237526,1.3140906244513748,1.28797268867,FALSE,FALSE,Within Range
spectral_strongpeak,Manchester Orchestra,0.424390226603,0.11332839727400018,1.3845133185379999,1.34550380707,FALSE,FALSE,Within Range
spectral_strongpeak,The Front Bottoms,0.518905520439,0.3791518807430001,1.1931520104389999,1.36069560051,FALSE,FALSE,Within Range
spectral_spread,All Get Out,2620015.25,3162397.09375,5331044.34375,4758639.5,TRUE,FALSE,Out of Range
spectral_spread,Manchester Orchestra,1937052.25,1668651,5866747,5845988.5,FALSE,FALSE,Within Range
spectral_spread,The Front Bottoms,3510343.75,3538674.5,6165566.5,5888673,FALSE,FALSE,Within Range
spectral_skewness,All Get Out,1.13602507114,0.8070780038799996,2.4173058271400003,4.12035322189,FALSE,TRUE,Outlying
spectral_skewness,Manchester Orchestra,1.16037845612,-0.4898808002499997,5.094513654709999,6.74691963196,FALSE,FALSE,Within Range
spectral_skewness,The Front Bottoms,0.873631238937,0.6345764398499999,2.39939844609,2.04340100288,TRUE,TRUE,Out of Range
spectral_rolloff,All Get Out,935.909057617,701.9130401650008,2767.301834104999,2520.04125977,TRUE,TRUE,Out of Range
spectral_rolloff,Manchester Orchestra,518.867919922,151.26593017000005,2083.169738778,2566.66723633,FALSE,FALSE,Within Range
spectral_rolloff,The Front Bottoms,927.041259766,740.5761718800004,2421.4550781199996,3190.28588867,TRUE,TRUE,Out of Range
spectral_rms,All Get Out,0.00317969406024,0.00310101528884,0.006518350273839999,0.00628577405587,FALSE,FALSE,Within Range
spectral_rms,Manchester Orchestra,0.0019821007736,0.0017641184386,0.00780975236556,0.00676948437467,FALSE,FALSE,Within Range
spectral_rms,The Front Bottoms,0.00396269606426,0.004077841760594999,0.007284431951115,0.00663769571111,FALSE,FALSE,Within Range
spectral_kurtosis,All Get Out,3.02692317963,-0.36353129148874785,11.89979201556125,40.100025177,FALSE,TRUE,Outlying
spectral_kurtosis,Manchester Orchestra,3.36056804657,-13.575888872074998,39.361613035085,98.5811462402,FALSE,FALSE,Within Range
