feature,artist,min,LF,UF,max,out.of.range,unusual,description
spectral_skewness,All Get Out,1.13602507114,0.8070780038799996,2.4173058271400003,4.12035322189,FALSE,TRUE,Outlying
spectral_skewness,Manchester Orchestra,1.16037845612,-0.4898808002499997,5.094513654709999,6.74691963196,FALSE,FALSE,Within Range
spectral_skewness,The Front Bottoms,0.873631238937,0.6345764398499999,2.39939844609,2.04340100288,TRUE,TRUE,Out of Range
spectral_rolloff,All Get Out,935.909057617,701.9130401650008,2767.301834104999,2520.04125977,TRUE,TRUE,Out of Range
spectral_rolloff,Manchester Orchestra,518.867919922,151.26593017000005,2083.169738778,2566.66723633,FALSE,FALSE,Within Range
spectral_rolloff,The Front Bottoms,927.041259766,740.5761718800004,2421.4550781199996,3190.28588867,TRUE,TRUE,Out of Range
spectral_kurtosis,All Get Out,3.02692317963,-0.36353129148874785,11.89979201556125,40.100025177,FALSE,TRUE,Outlying
spectral_kurtosis,Manchester Orchestra,3.36056804657,-13.575888872074998,39.361613035085,98.5811462402,FALSE,FALSE,Within Range
spectral_kurtosis,The Front Bottoms,1.89431679249,5.638599400001887e-4,9.545613527299999,10.4703330994,TRUE,TRUE,Out of Range
spectral_entropy,All Get Out,6.43918323517,7.001462340366249,8.21080720423625,7.90557861328,FALSE,TRUE,Outlying
spectral_entropy,Manchester Orchestra,5.78891563416,5.217238903034999,8.894668102275002,7.8917722702,FALSE,FALSE,Within Range
spectral_entropy,The Front Bottoms,7.11223840714,7.0977056026600005,8.09528517722,8.01542949677,TRUE,TRUE,Out of Range
spectral_energyband_middle_high,All Get Out,0.00305313011631,0.0031531204003775,0.0097797124180975,0.00932195037603,TRUE,TRUE,Out of Range
spectral_energyband_middle_high,Manchester Orchestra,5.62088622246e-4,-0.0013243639841599994,0.01080974470824,0.00898000784218,FALSE,FALSE,Within Range
spectral_energyband_middle_high,The Front Bottoms,0.00383267272264,0.0029422489460599996,0.00927185057662,0.00986930914223,TRUE,TRUE,Out of Range
spectral_complexity,All Get Out,10.9786834717,10.301604986162504,36.5508096218625,33.2580451965,TRUE,TRUE,Out of Range
spectral_complexity,Manchester Orchestra,3.67030739784,-3.523820400249999,39.097940921749995,30.5031356812,FALSE,FALSE,Within Range
spectral_complexity,The Front Bottoms,11.9183702469,14.804765701249998,27.86903572085,28.5667858124,TRUE,TRUE,Out of Range
spectral_centroid,All Get Out,836.20715332,419.53572083624965,2569.3651885862505,1967.61682129,TRUE,FALSE,Out of Range
spectral_centroid,Manchester Orchestra,418.644165039,-231.76016235749978,2322.2986755425,2106.83129883,FALSE,FALSE,Within Range
spectral_centroid,The Front Bottoms,924.401367188,584.6712036099999,2298.02716065,2412.484375,TRUE,FALSE,Out of Range
erbbands_skewness,All Get Out,-0.434698283672,-0.8111475016925,1.0334753934295,0.83578056097,TRUE,TRUE,Out of Range
erbbands_skewness,Manchester Orchestra,-0.330092012882,-0.8592926263815,1.7788995504385001,1.6736959219,FALSE,FALSE,Within Range
erbbands_skewness,The Front Bottoms,-0.701558887959,-0.667590502649,0.864834573119,0.797529101372,TRUE,TRUE,Out of Range
dissonance,All Get Out,0.396982818842,0.4362380839880001,0.49937272444399994,0.480492979288,FALSE,TRUE,Outlying
dissonance,Manchester Orchestra,0.365194410086,0.36408309638549996,0.5262402743095,0.480991095304,FALSE,FALSE,Within Range
dissonance,The Front Bottoms,0.432063788176,0.441626802087,0.487829580903,0.482941865921,TRUE,TRUE,Out of Range
barkbands_skewness,All Get Out,0.71010154485700006,0.5175292044899998,2.1552358418699997,2.55099225044,TRUE,TRUE,Out of Range
barkbands_skewness,Manchester Orchestra,0.835669994354,0.3961268663350004,3.2019234895749995,4.19446372986,FALSE,FALSE,Within Range
barkbands_skewness,The Front Bottoms,0.745804548264,1.03211659194,2.4082481264999998,2.40908789635,TRUE,TRUE,Out of Range
